stream,n,display,arabic,count,firstSurah,firstVerse
surface,5,خطوت الشيطن إنه لكم عدو,خطوت الشيطن إنه لكم عدو,3,2,168
surface,5,دعوا الله مخلصين له الدين,دعوا الله مخلصين له الدين,3,10,22
surface,5,دون الله إن كنتم صدقين,دون الله إن كنتم صدقين,3,2,23
surface,5,دون الله وليا ولا نصيرا,دون الله وليا ولا نصيرا,3,4,123
surface,5,ذكر أو أنثى وهو مؤمن,ذكر أو أنثى وهو مؤمن,3,4,124
surface,5,ذلك بأن الله هو الحق,ذلك بأن الله هو الحق,3,22,6
surface,5,ذلك بما عصوا وكانوا يعتدون,ذلك بما عصوا وكانوا يعتدون,3,2,61
surface,5,ذلك فضل الله يؤتيه من,ذلك فضل الله يؤتيه من,3,5,54
surface,5,ذلكم بلاء من ربكم عظيم,ذلكم بلاء من ربكم عظيم,3,2,49
surface,5,ربك من بعدها لغفور رحيم,ربك من بعدها لغفور رحيم,3,7,153
surface,5,ربك هو أعلم بمن ضل,ربك هو أعلم بمن ضل,3,16,125
surface,5,ربى وربكم فاعبدوه هذا صرط,ربى وربكم فاعبدوه هذا صرط,3,3,51
surface,5,رجزا من السماء بما كانوا,رجزا من السماء بما كانوا,3,2,59
surface,5,رسوله بالهدى ودين الحق ليظهره,رسوله بالهدى ودين الحق ليظهره,3,9,33
surface,5,سبح لله ما فى السموت,سبح لله ما فى السموت,3,57,1
surface,5,سبقت من ربك لقضى بينهم,سبقت من ربك لقضى بينهم,3,10,19
surface,5,سيروا فى الأرض فانظروا كيف,سيروا فى الأرض فانظروا كيف,3,27,69
surface,5,ضل عن سبيله وهو أعلم,ضل عن سبيله وهو أعلم,3,16,125
surface,5,عصيت ربى عذاب يوم عظيم,عصيت ربى عذاب يوم عظيم,3,6,15
surface,5,علم الغيب والشهدة فينبئكم بما,علم الغيب والشهدة فينبئكم بما,3,9,94
surface,5,على الله وكفى بالله وكيلا,على الله وكفى بالله وكيلا,3,4,81
surface,5,على قلوبهم أكنة أن يفقهوه,على قلوبهم أكنة أن يفقهوه,3,6,25
surface,5,عليكم الميتة والدم ولحم الخنزير,عليكم الميتة والدم ولحم الخنزير,3,2,173
surface,5,عليه إن الله غفور رحيم,عليه إن الله غفور رحيم,3,2,173
surface,5,عن سبيل الله ويبغونها عوجا,عن سبيل الله ويبغونها عوجا,3,7,45
surface,5,عن سبيله وهو أعلم بالمهتدين,عن سبيله وهو أعلم بالمهتدين,3,6,117
surface,5,عنهم أمولهم ولا أولدهم من,عنهم أمولهم ولا أولدهم من,3,3,10
surface,5,فأتنا بما تعدنا إن كنت,فأتنا بما تعدنا إن كنت,3,7,70
surface,5,فأحيا به الأرض بعد موتها,فأحيا به الأرض بعد موتها,3,2,164
surface,5,فأخذتهم الرجفة فأصبحوا فى دارهم,فأخذتهم الرجفة فأصبحوا فى دارهم,3,7,78
surface,5,فأما الذين ءامنوا وعملوا الصلحت,فأما الذين ءامنوا وعملوا الصلحت,3,4,173
surface,5,فإنما يهتدى لنفسه ومن ضل,فإنما يهتدى لنفسه ومن ضل,3,10,108
surface,5,فاصبر إن وعد الله حق,فاصبر إن وعد الله حق,3,30,60
surface,5,فانتظروا إنى معكم من المنتظرين,فانتظروا إنى معكم من المنتظرين,3,7,71
surface,5,فضل الله يؤتيه من يشاء,فضل الله يؤتيه من يشاء,3,5,54
surface,5,فما أغنى عنهم ما كانوا,فما أغنى عنهم ما كانوا,3,15,84
surface,5,فما كان جواب قومه إلا,فما كان جواب قومه إلا,3,27,56
surface,5,فمن اضطر غير باغ ولا,فمن اضطر غير باغ ولا,3,2,173
surface,5,فمن شاء اتخذ إلى ربه,فمن شاء اتخذ إلى ربه,3,73,19
surface,5,فول وجهك شطر المسجد الحرام,فول وجهك شطر المسجد الحرام,3,2,144
surface,5,فى أمم قد خلت من,فى أمم قد خلت من,3,7,38
surface,5,فى الأرض جميعا ومثله معه,فى الأرض جميعا ومثله معه,3,5,36
surface,5,فى الأرض روسى أن تميد,فى الأرض روسى أن تميد,3,16,15
surface,5,فى الحيوة الدنيا وفى الءاخرة,فى الحيوة الدنيا وفى الءاخرة,3,10,64
surface,5,فى الحيوة الدنيا ولعذاب الءاخرة,فى الحيوة الدنيا ولعذاب الءاخرة,3,13,34
surface,5,فى الدنيا والءاخرة وما لهم,فى الدنيا والءاخرة وما لهم,3,3,22
surface,5,فى ذلك لءايت لقوم يعقلون,فى ذلك لءايت لقوم يعقلون,3,13,4
surface,5,فى هذا القرءان من كل,فى هذا القرءان من كل,3,17,89
surface,5,فيها من أساور من ذهب,فيها من أساور من ذهب,3,18,31
surface,5,قال إنه يقول إنها بقرة,قال إنه يقول إنها بقرة,3,2,68
surface,5,قالوا ادع لنا ربك يبين,قالوا ادع لنا ربك يبين,3,2,68
surface,5,قال يقوم أرءيتم إن كنت,قال يقوم أرءيتم إن كنت,3,11,28
surface,5,قبلك إلا رجالا نوحى إليهم,قبلك إلا رجالا نوحى إليهم,3,12,109
surface,5,قل سيروا فى الأرض فانظروا,قل سيروا فى الأرض فانظروا,3,27,69
surface,5,قلوبهم أكنة أن يفقهوه وفى,قلوبهم أكنة أن يفقهوه وفى,3,6,25
surface,5,كان الله ليظلمهم ولكن كانوا,كان الله ليظلمهم ولكن كانوا,3,9,70
surface,5,كدأب ءال فرعون والذين من,كدأب ءال فرعون والذين من,3,3,11
surface,5,كفر الذين قالوا إن الله,كفر الذين قالوا إن الله,3,5,17
surface,5,كلمة سبقت من ربك لقضى,كلمة سبقت من ربك لقضى,3,10,19
surface,5,كل نفس ما كسبت وهم,كل نفس ما كسبت وهم,3,2,281
surface,5,كم أهلكنا من قبلهم من,كم أهلكنا من قبلهم من,3,6,6
surface,5,كنت على بينة من ربى,كنت على بينة من ربى,3,11,28
surface,5,لا إله إلا هو فأنى,لا إله إلا هو فأنى,3,35,3
surface,5,لقد كفر الذين قالوا إن,لقد كفر الذين قالوا إن,3,5,17
surface,5,لكم السمع والأبصر والأفدة قليلا,لكم السمع والأبصر والأفدة قليلا,3,23,78
surface,5,لكم من إله غيره أفلا,لكم من إله غيره أفلا,3,7,65
surface,5,للناس فى هذا القرءان من,للناس فى هذا القرءان من,3,17,89
surface,5,لله بل أكثرهم لا يعلمون,لله بل أكثرهم لا يعلمون,3,16,75
surface,5,لمن يشاء من عباده ويقدر,لمن يشاء من عباده ويقدر,3,28,82
surface,5,لم يحكم بما أنزل الله,لم يحكم بما أنزل الله,3,5,44
surface,5,لنا ربك يبين لنا ما,لنا ربك يبين لنا ما,3,2,68
surface,5,لن تغنى عنهم أمولهم ولا,لن تغنى عنهم أمولهم ولا,3,3,10
surface,5,لولا أنزل عليه ءاية من,لولا أنزل عليه ءاية من,3,10,20
surface,5,ليجزى الذين ءامنوا وعملوا الصلحت,ليجزى الذين ءامنوا وعملوا الصلحت,3,10,4
surface,5,ليظلمهم ولكن كانوا أنفسهم يظلمون,ليظلمهم ولكن كانوا أنفسهم يظلمون,3,9,70
surface,5,ما أمر الله به أن,ما أمر الله به أن,3,2,27
surface,5,ما أنزل إليك من ربك,ما أنزل إليك من ربك,3,5,64
surface,5,ما جاءهم العلم بغيا بينهم,ما جاءهم العلم بغيا بينهم,3,3,19
surface,5,ما فى الأرض جميعا ومثله,ما فى الأرض جميعا ومثله,3,5,36
surface,5,ما كسبت وهم لا يظلمون,ما كسبت وهم لا يظلمون,3,2,281
surface,5,ما لم ينزل به سلطنا,ما لم ينزل به سلطنا,3,3,151
surface,5,ملة إبرهيم حنيفا وما كان,ملة إبرهيم حنيفا وما كان,3,3,95
surface,5,من ءال فرعون يسومونكم سوء,من ءال فرعون يسومونكم سوء,3,2,49
surface,5,من إله غير الله يأتيكم,من إله غير الله يأتيكم,3,6,46
surface,5,من إله غيره أفلا تتقون,من إله غيره أفلا تتقون,3,7,65
surface,5,من الذين أوتوا الكتب من,من الذين أوتوا الكتب من,3,3,186
surface,5,من السماء ماء فأخرجنا به,من السماء ماء فأخرجنا به,3,6,99
surface,5,من الله ما لا تعلمون,من الله ما لا تعلمون,3,7,62
surface,5,من بعد ما جاءتهم البينت,من بعد ما جاءتهم البينت,3,2,213
surface,5,من بعد ما جاءهم العلم,من بعد ما جاءهم العلم,3,3,19
surface,5,من بين يديه ومن خلفه,من بين يديه ومن خلفه,3,13,11
surface,5,من خلق السموت والأرض ليقولن,من خلق السموت والأرض ليقولن,3,31,25
surface,5,من دون الله إن كنتم,من دون الله إن كنتم,3,2,23
surface,5,من دون الله وليا ولا,من دون الله وليا ولا,3,4,123
surface,5,من ذكر أو أنثى وهو,من ذكر أو أنثى وهو,3,4,124
surface,5,من صلصل من حمإ مسنون,من صلصل من حمإ مسنون,3,15,26
surface,5,من يجدل فى الله بغير,من يجدل فى الله بغير,3,22,3
surface,5,من يشاء والله وسع عليم,من يشاء والله وسع عليم,3,2,247
surface,5,نرينك بعض الذى نعدهم أو,نرينك بعض الذى نعدهم أو,3,10,46
surface,5,نساءكم وفى ذلكم بلاء من,نساءكم وفى ذلكم بلاء من,3,2,49
surface,5,نفس ما كسبت وهم لا,نفس ما كسبت وهم لا,3,2,281
surface,5,هذا القرءان من كل مثل,هذا القرءان من كل مثل,3,17,89
surface,5,هو أعلم بمن ضل عن,هو أعلم بمن ضل عن,3,16,125
surface,5,هو الذى أرسل رسوله بالهدى,هو الذى أرسل رسوله بالهدى,3,9,33
surface,5,وأقسموا بالله جهد أيمنهم لئن,وأقسموا بالله جهد أيمنهم لئن,3,6,109
surface,5,وأولئك أصحب النار هم فيها,وأولئك أصحب النار هم فيها,3,2,217
surface,5,وإذ قال موسى لقومه يقوم,وإذ قال موسى لقومه يقوم,3,2,54
surface,5,وإنه فى الءاخرة لمن الصلحين,وإنه فى الءاخرة لمن الصلحين,3,2,130
surface,5,واعلموا أن الله مع المتقين,واعلموا أن الله مع المتقين,3,2,194
surface,5,والأبصر والأفدة قليلا ما تشكرون,والأبصر والأفدة قليلا ما تشكرون,3,23,78
surface,5,والأرض فى ستة أيام ثم,والأرض فى ستة أيام ثم,3,7,54
surface,5,والأرض وما بينهما إلا بالحق,والأرض وما بينهما إلا بالحق,3,15,85
surface,5,والأرض وما بينهما فى ستة,والأرض وما بينهما فى ستة,3,25,59
surface,5,والدم ولحم الخنزير وما أهل,والدم ولحم الخنزير وما أهل,3,2,173
surface,5,والذين ءامنوا معه برحمة منا,والذين ءامنوا معه برحمة منا,3,11,58
surface,5,والشهدة فينبئكم بما كنتم تعملون,والشهدة فينبئكم بما كنتم تعملون,3,9,94
surface,5,والقمر كل يجرى لأجل مسمى,والقمر كل يجرى لأجل مسمى,3,13,2
surface,5,وتوكل على الله وكفى بالله,وتوكل على الله وكفى بالله,3,4,81
surface,5,وجعل لكم السمع والأبصر والأفدة,وجعل لكم السمع والأبصر والأفدة,3,16,78
surface,5,ودين الحق ليظهره على الدين,ودين الحق ليظهره على الدين,3,9,33
surface,5,وربكم فاعبدوه هذا صرط مستقيم,وربكم فاعبدوه هذا صرط مستقيم,3,3,51
surface,5,وفى ذلكم بلاء من ربكم,وفى ذلكم بلاء من ربكم,3,2,49
surface,5,وكذبوا بايتنا أولئك أصحب الجحيم,وكذبوا بايتنا أولئك أصحب الجحيم,3,5,10
surface,5,وكم أهلكنا قبلهم من قرن,وكم أهلكنا قبلهم من قرن,3,19,74
surface,5,وكنا ترابا وعظما أءنا لمبعوثون,وكنا ترابا وعظما أءنا لمبعوثون,3,23,82
surface,5,ولا أولدهم من الله شيا,ولا أولدهم من الله شيا,3,3,10
surface,5,ولا تبخسوا الناس أشياءهم ولا,ولا تبخسوا الناس أشياءهم ولا,3,7,85
surface,5,ولا تتبعوا خطوت الشيطن إنه,ولا تتبعوا خطوت الشيطن إنه,3,2,168
surface,5,ولا تمسوها بسوء فيأخذكم عذاب,ولا تمسوها بسوء فيأخذكم عذاب,3,7,73
surface,5,ولقد أرسلنا نوحا إلى قومه,ولقد أرسلنا نوحا إلى قومه,3,11,25
surface,5,ولقد استهزئ برسل من قبلك,ولقد استهزئ برسل من قبلك,3,6,10
surface,5,ولكن أكثر الناس لا يؤمنون,ولكن أكثر الناس لا يؤمنون,3,11,17
surface,5,ولكن أكثر الناس لا يشكرون,ولكن أكثر الناس لا يشكرون,3,2,243
surface,5,ولهم فى الءاخرة عذاب عظيم,ولهم فى الءاخرة عذاب عظيم,3,2,114
surface,5,وما بينهما فى ستة أيام,وما بينهما فى ستة أيام,3,25,59
surface,5,ومن الناس من يجدل فى,ومن الناس من يجدل فى,3,22,3
surface,5,ومن ضل فإنما يضل عليها,ومن ضل فإنما يضل عليها,3,10,108
surface,5,ومن لم يحكم بما أنزل,ومن لم يحكم بما أنزل,3,5,44
surface,5,ويستحيون نساءكم وفى ذلكم بلاء,ويستحيون نساءكم وفى ذلكم بلاء,3,2,49
surface,5,يأيها الذين ءامنوا أطيعوا الله,يأيها الذين ءامنوا أطيعوا الله,3,4,59
surface,5,يؤتيه من يشاء والله ذو,يؤتيه من يشاء والله ذو,3,57,21
surface,5,يبسط الرزق لمن يشاء من,يبسط الرزق لمن يشاء من,3,28,82
surface,5,يبنى إسرءيل اذكروا نعمتى التى,يبنى إسرءيل اذكروا نعمتى التى,3,2,40
surface,5,يبين الله لكم ءايته لعلكم,يبين الله لكم ءايته لعلكم,3,2,242
surface,5,يبين الله لكم الءايت لعلكم,يبين الله لكم الءايت لعلكم,3,2,219
surface,5,يجدل فى الله بغير علم,يجدل فى الله بغير علم,3,22,3
surface,5,يحكم بما أنزل الله فأولئك,يحكم بما أنزل الله فأولئك,3,5,44
surface,5,يحلون فيها من أساور من,يحلون فيها من أساور من,3,18,31
surface,5,يخفف عنهم العذاب ولا هم,يخفف عنهم العذاب ولا هم,3,2,86
surface,5,يدخل الذين ءامنوا وعملوا الصلحت,يدخل الذين ءامنوا وعملوا الصلحت,3,22,14
surface,5,يدخله جنت تجرى من تحتها,يدخله جنت تجرى من تحتها,3,4,13
surface,5,يرزق من يشاء بغير حساب,يرزق من يشاء بغير حساب,3,2,212
surface,5,يعلم ما فى السموت وما,يعلم ما فى السموت وما,3,5,97
surface,5,يعلم ما يسرون وما يعلنون,يعلم ما يسرون وما يعلنون,3,2,77
surface,5,يغفر لمن يشاء ويعذب من,يغفر لمن يشاء ويعذب من,3,3,129
surface,5,يقوم أرءيتم إن كنت على,يقوم أرءيتم إن كنت على,3,11,28
surface,5,يقيمون الصلوة ويؤتون الزكوة وهم,يقيمون الصلوة ويؤتون الزكوة وهم,3,5,55
surface,5,يهدى من يشاء إلى صرط,يهدى من يشاء إلى صرط,3,2,142
surface,5,يوحى إلى أنما إلهكم إله,يوحى إلى أنما إلهكم إله,3,18,110
surface,5,يوم القيمة لا ريب فيه,يوم القيمة لا ريب فيه,3,4,87
root,3,dh-h-b · a-t-y · kh-l-q,ذ ه ب ا ت ي خ ل ق,2,14,19
root,3,dh-h-b · l-a-l-a · l-b-s,ذ ه ب ل ا ل ا ل ب س,2,22,23
root,3,dh-k-r · sh-y-a · a-kh-dh,ذ ك ر ش ي ا ا خ ذ,2,73,19
root,3,dh-k-r · a-l-h · w-j-l,ذ ك ر ا ل ه و ج ل,2,8,2
root,3,dh-k-r · a-l-w · a-l-h,ذ ك ر ا ل و ا ل ه,2,7,69
root,3,dh-k-r · a-n-th · j-ʿ-l,ذ ك ر ا ن ث ج ع ل,2,42,50
root,3,dh-k-r · ḥ-r-m · a-n-th,ذ ك ر ح ر م ا ن ث,2,6,143
root,3,dh-k-r · j-ʿ-l · kh-l-f,ذ ك ر ج ع ل خ ل ف,2,7,69
root,3,dh-k-r · k-w-n · ʿ-l-m,ذ ك ر ك و ن ع ل م,2,16,43
root,3,dh-k-r · m-th-l · ḥ-ẓ-ẓ,ذ ك ر م ث ل ح ظ ظ,2,4,11
root,3,dh-k-r · n-ʿ-m · r-b-b,ذ ك ر ن ع م ر ب ب,2,43,13
root,3,dh-k-r · n-f-ʿ · dh-k-r,ذ ك ر ن ف ع ذ ك ر,2,80,4
root,3,dh-k-r · r-b-b · r-j-l,ذ ك ر ر ب ب ر ج ل,2,7,63
root,3,dh-n-b · a-kh-r · a-j-l,ذ ن ب ا خ ر ا ج ل,2,14,10
root,3,dh-n-b · ʿ-b-d · kh-b-r,ذ ن ب ع ب د خ ب ر,2,17,17
root,3,dh-n-b · k-w-n · kh-ṭ-a,ذ ن ب ك و ن خ ط ا,2,12,29
root,3,dh-r-a · a-r-ḍ · ḥ-sh-r,ذ ر ا ا ر ض ح ش ر,2,23,79
root,3,dh-r-r · n-b-a · k-t-b,ذ ر ر ن ب ا ك ت ب,2,29,27
root,3,dh-r-r · s-m-w · a-r-ḍ,ذ ر ر س م و ا ر ض,2,34,3
root,3,dh-w-q · a-n-s · r-ḥ-m,ذ و ق ا ن س ر ح م,2,11,9
root,3,dh-w-q · ʿ-dh-b · a-l-m,ذ و ق ع ذ ب ا ل م,2,22,25
root,3,dh-w-q · ʿ-dh-b · n-dh-r,ذ و ق ع ذ ب ن ذ ر,2,54,37
root,3,dh-w-q · ʿ-dh-b · n-w-r,ذ و ق ع ذ ب ن و ر,2,32,20
root,3,dh-w-q · ʿ-dh-b · kh-l-d,ذ و ق ع ذ ب خ ل د,2,10,52
root,3,dh-w-q · k-f-r · ʿ-dh-b,ذ و ق ك ف ر ع ذ ب,2,8,14
root,3,dh-w-q · n-w-s · r-ḥ-m,ذ و ق ن و س ر ح م,2,10,21
root,3,sh-b-h · gh-y-r · sh-b-h,ش ب ه غ ي ر ش ب ه,2,6,99
root,3,sh-d-d · q-w-y · a-th-r,ش د د ق و ي ا ث ر,2,40,21
root,3,sh-d-d · q-w-y · k-th-r,ش د د ق و ي ك ث ر,2,9,69
root,3,sh-d-d · q-w-y · k-w-n,ش د د ق و ي ك و ن,2,35,44
root,3,sh-f-ʿ · ʿ-n-d · a-dh-n,ش ف ع ع ن د ا ذ ن,2,2,255
root,3,sh-h-d · a-l-h · a-l-h,ش ه د ا ل ه ا ل ه,2,3,18
root,3,sh-h-d · b-sh-r · n-dh-r,ش ه د ب ش ر ن ذ ر,2,33,45
root,3,sh-h-d · ʿ-n-d · a-l-h,ش ه د ع ن د ا ل ه,2,2,140
root,3,sh-h-d · k-f-y · a-l-h,ش ه د ك ف ي ا ل ه,2,4,6
root,3,sh-h-d · n-f-s · k-w-n,ش ه د ن ف س ك و ن,2,6,130
root,3,sh-h-d · q-w-l · a-l-h,ش ه د ق و ل ا ل ه,2,6,19
root,3,sh-h-d · r-b-ʿ · sh-h-d,ش ه د ر ب ع ش ه د,2,4,15
root,3,sh-h-d · r-j-l · k-w-n,ش ه د ر ج ل ك و ن,2,2,282
root,3,sh-h-d · s-m-ʿ · b-ṣ-r,ش ه د س م ع ب ص ر,2,41,20
root,3,sh-ḥ-ḥ · n-f-s · f-l-ḥ,ش ح ح ن ف س ف ل ح,2,59,9
root,3,sh-h-r · ḥ-r-m · h-d-y,ش ه ر ح ر م ه د ي,2,5,2
root,3,sh-h-r · ḥ-r-m · q-t-l,ش ه ر ح ر م ق ت ل,2,2,217
root,3,sh-h-w · d-w-n · n-s-w,ش ه و د و ن ن س و,2,7,81
root,3,sh-j-r · k-w-n · ẓ-l-m,ش ج ر ك و ن ظ ل م,2,2,35
root,3,sh-k-k · d-ʿ-w · r-y-b,ش ك ك د ع و ر ي ب,2,11,62
root,3,sh-k-r · sh-k-r · n-f-s,ش ك ر ش ك ر ن ف س,2,27,40
root,3,sh-k-r · n-ʿ-m · n-ʿ-m,ش ك ر ن ع م ن ع م,2,27,19
root,3,sh-k-r · n-f-s · k-f-r,ش ك ر ن ف س ك ف ر,2,27,40
root,3,sh-m-l · r-ḥ-m · a-n-th,ش م ل ر ح م ا ن ث,2,6,143
root,3,sh-m-s · q-b-l · gh-r-b,ش م س ق ب ل غ ر ب,2,20,130
root,3,sh-m-s · q-m-r · ḥ-s-b,ش م س ق م ر ح س ب,2,6,96
root,3,sh-m-s · q-m-r · s-j-d,ش م س ق م ر س ج د,2,41,37
root,3,sh-q-q · r-s-l · b-ʿ-d,ش ق ق ر س ل ب ع د,2,4,115
root,3,sh-r-b · ḥ-m-m · ʿ-dh-b,ش ر ب ح م م ع ذ ب,2,6,70
root,3,sh-r-b · h-n-a · k-w-n,ش ر ب ه ن ا ك و ن,2,52,19
root,3,sh-r-k · sh-y-a · a-l-h,ش ر ك ش ي ا ا ل ه,2,6,148
root,3,sh-r-k · sh-y-a · w-l-d,ش ر ك ش ي ا و ل د,2,4,36
root,3,sh-r-k · a-l-h · sh-y-a,ش ر ك ا ل ه ش ي ا,2,12,38
root,3,sh-r-k · gh-f-r · d-w-n,ش ر ك غ ف ر د و ن,2,4,48
root,3,sh-r-k · k-w-n · sh-r-k,ش ر ك ك و ن ش ر ك,2,6,136
root,3,sh-r-k · s-m-w · a-t-y,ش ر ك س م و ا ت ي,2,35,40
root,3,sh-r-r · d-b-b · ʿ-n-d,ش ر ر د ب ب ع ن د,2,8,22
root,3,sh-r-r · k-w-n · ḍ-l-l,ش ر ر ك و ن ض ل ل,2,5,60
root,3,sh-r-y · a-y-y · a-l-h,ش ر ي ا ي ي ا ل ه,2,3,199
root,3,sh-r-y · a-y-y · th-m-n,ش ر ي ا ي ي ث م ن,2,2,41
root,3,sh-r-y · ḍ-l-l · h-d-y,ش ر ي ض ل ل ه د ي,2,2,16
root,3,sh-r-y · ʿ-h-d · a-l-h,ش ر ي ع ه د ا ل ه,2,3,77
root,3,sh-r-y · ḥ-y-y · d-n-w,ش ر ي ح ي ي د ن و,2,2,86
root,3,sh-ṭ-n · ʿ-m-l · ṣ-d-d,ش ط ن ع م ل ص د د,2,27,24
root,3,sh-ṭ-n · n-z-gh · ʿ-w-dh,ش ط ن ن ز غ ع و ذ,2,7,200
root,3,sh-ṭ-n · w-l-y · d-w-n,ش ط ن و ل ي د و ن,2,4,119
root,3,sh-y-a · dh-h-b · a-t-y,ش ي ا ذ ه ب ا ت ي,2,14,19
root,3,sh-y-a · sh-r-k · a-l-h,ش ي ا ش ر ك ا ل ه,2,4,48
root,3,sh-y-a · sh-y-a · a-l-h,ش ي ا ش ي ا ا ل ه,2,76,30
root,3,sh-y-a · a-l-h · sh-r-k,ش ي ا ا ل ه ش ر ك,2,6,107
root,3,sh-y-a · a-l-h · a-m-n,ش ي ا ا ل ه ا م ن,2,12,99
root,3,sh-y-a · a-l-h · h-d-y,ش ي ا ا ل ه ه د ي,2,2,70
root,3,sh-y-a · a-l-h · q-t-l,ش ي ا ا ل ه ق ت ل,2,2,253
root,3,sh-y-a · a-l-h · ṣ-b-r,ش ي ا ا ل ه ص ب ر,2,18,69
root,3,sh-y-a · a-l-h · s-m-ʿ,ش ي ا ا ل ه س م ع,2,24,21
root,3,sh-y-a · a-m-r · a-l-h,ش ي ا ا م ر ا ل ه,2,6,159
root,3,sh-y-a · a-r-ḍ · s-m-w,ش ي ا ا ر ض س م و,2,3,5
root,3,sh-y-a · ḍ-l-l · a-l-h,ش ي ا ض ل ل ا ل ه,2,39,23
root,3,sh-y-a · ʿ-b-d · n-dh-r,ش ي ا ع ب د ن ذ ر,2,16,2
root,3,sh-y-a · ʿ-n-d · r-b-b,ش ي ا ع ن د ر ب ب,2,39,34
root,3,sh-y-a · ʿ-th-w · a-r-ḍ,ش ي ا ع ث و ا ر ض,2,11,85
root,3,sh-y-a · ʿ-z-z · ḥ-k-m,ش ي ا ع ز ز ح ك م,2,14,4
root,3,sh-y-a · f-ḍ-l · a-l-h,ش ي ا ف ض ل ا ل ه,2,12,38
root,3,sh-y-a · h-d-y · j-m-ʿ,ش ي ا ه د ي ج م ع,2,6,149
root,3,sh-y-a · h-d-y · n-w-b,ش ي ا ه د ي ن و ب,2,13,27
root,3,sh-y-a · ḥ-k-m · a-l-h,ش ي ا ح ك م ا ل ه,2,12,67
root,3,sh-y-a · j-z-y · a-l-h,ش ي ا ج ز ي ا ل ه,2,3,144
root,3,sh-y-a · k-l-l · sh-y-a,ش ي ا ك ل ل ش ي ا,2,6,101
root,3,sh-y-a · m-t-ʿ · ḥ-y-y,ش ي ا م ت ع ح ي ي,2,28,60
root,3,sh-y-a · q-d-r · a-y-y,ش ي ا ق د ر ا ي ي,2,30,37
root,3,sh-y-a · q-r-b · sh-j-r,ش ي ا ق ر ب ش ج ر,2,2,35
root,3,sh-y-a · q-w-l · n-z-l,ش ي ا ق و ل ن ز ل,2,6,91
root,3,sh-y-a · r-ḥ-m · sh-y-a,ش ي ا ر ح م ش ي ا,2,17,54
root,3,sh-y-a · r-ḥ-m · ẓ-l-m,ش ي ا ر ح م ظ ل م,2,42,8
root,3,sh-y-a · r-w-d · a-l-h,ش ي ا ر و د ا ل ه,2,3,176
root,3,sh-y-a · ṣ-ḥ-b · n-w-r,ش ي ا ص ح ب ن و ر,2,3,116
root,3,sh-y-a · w-l-d · ḥ-s-n,ش ي ا و ل د ح س ن,2,4,36
root,3,a-dh-n · a-l-h · ʿ-l-m,ا ذ ن ا ل ه ع ل م,2,2,102
root,3,a-dh-n · k-b-r · ʿ-l-m,ا ذ ن ك ب ر ع ل م,2,20,71
root,3,a-dh-n · r-b-b · ḥ-q-q,ا ذ ن ر ب ب ح ق ق,2,84,2
root,3,a-dh-y · r-s-l · a-l-h,ا ذ ي ر س ل ا ل ه,2,9,61
root,3,a-b-d · f-w-z · ʿ-ẓ-m,ا ب د ف و ز ع ظ م,2,9,100
root,3,a-b-d · q-d-m · y-d-y,ا ب د ق د م ي د ي,2,2,95
root,3,a-b-d · r-ḍ-w · a-l-h,ا ب د ر ض و ا ل ه,2,5,119
root,3,a-b-w · sh-y-kh · k-b-r,ا ب و ش ي خ ك ب ر,2,12,78
root,3,a-b-w · a-m-m · a-th-r,ا ب و ا م م ا ث ر,2,43,22
root,3,a-b-w · ḍ-l-l · b-y-n,ا ب و ض ل ل ب ي ن,2,12,8
root,3,a-b-w · k-w-n · a-b-w,ا ب و ك و ن ا ب و,2,2,170
root,3,a-b-w · k-w-n · ṣ-d-q,ا ب و ك و ن ص د ق,2,44,36
root,3,a-b-w · q-b-l · s-ṭ-r,ا ب و ق ب ل س ط ر,2,23,83
root,3,a-b-w · q-w-l · a-b-w,ا ب و ق و ل ا ب و,2,12,63
root,3,a-b-w · q-w-m · ʿ-b-d,ا ب و ق و م ع ب د,2,26,70
root,3,a-b-w · z-w-j · dh-r-r,ا ب و ز و ج ذ ر ر,2,13,23
root,3,a-b-y · k-th-r · n-w-s,ا ب ي ك ث ر ن و س,2,17,89
root,3,a-ḥ-d · gh-w-ṭ · l-m-s,ا ح د غ و ط ل م س,2,4,43
root,3,a-h-l · dh-k-r · k-w-n,ا ه ل ذ ك ر ك و ن,2,16,43
root,3,a-h-l · k-r-b · ʿ-ẓ-m,ا ه ل ك ر ب ع ظ م,2,21,76
root,3,a-h-l · k-t-b · gh-l-w,ا ه ل ك ت ب غ ل و,2,4,171
root,3,a-h-l · k-t-b · j-y-a,ا ه ل ك ت ب ج ي ا,2,5,15
root,3,a-h-l · k-t-b · k-f-r,ا ه ل ك ت ب ك ف ر,2,3,70
root,3,a-h-l · m-k-th · a-n-s,ا ه ل م ك ث ا ن س,2,20,10
root,3,a-h-l · m-th-l · r-ḥ-m,ا ه ل م ث ل ر ح م,2,21,84
root,3,a-h-l · q-r-y · a-t-y,ا ه ل ق ر ي ا ت ي,2,7,97
root,3,a-h-l · q-ṭ-ʿ · l-y-l,ا ه ل ق ط ع ل ي ل,2,11,81
root,3,a-h-l · s-b-q · q-w-l,ا ه ل س ب ق ق و ل,2,11,40
root,3,a-h-l · y-w-m · q-w-m,ا ه ل ي و م ق و م,2,39,15
root,3,a-j-l · j-y-a · a-j-l,ا ج ل ج ي ا ا ج ل,2,7,34
